Rank,Player,Team,Position,Auction Value
1,Nico Parsons RB1,SF,RB,$54.2
2,Amon-Ra Wilson WR1,PHI,WR,$52.4
3,Kyren Robinson WR2,PHI,WR,$52.4
4,Deebo Pacheco RB2,BUF,RB,$49.8
5,Breece Odunze RB3,CIN,RB,$48.9
6,Blake Rice WR4,TB,WR,$47.2
7,Micah McBride WR3,NO,WR,$46.3
8,Cooper Hall RB4,NO,RB,$44.6
9,Chris Gibbs WR5,SF,WR,$44.6
10,Jordan Shakir RB6,DAL,RB,$43.7
11,Jahmyr Parsons WR6,LV,WR,$43.7
12,Jordan Hall WR7,TB,WR,$42.8
13,Quentin Rice RB5,DAL,RB,$41.1
14,Zay Parsons RB7,CIN,RB,$40.2
15,Tank Gibbs WR8,BAL,WR,$40.2
16,Rome Collins RB8,NO,RB,$37.6
17,Zay Hall WR10,ARI,WR,$35.9
18,Garrett Corum WR9,TB,WR,$34.1
19,Trey LaPorta RB9,PHI,RB,$32.4
20,Garrett Johnston RB10,NYG,RB,$32.4
21,Cooper Dell RB11,SEA,RB,$30.6
22,Blake Shakir WR12,TB,WR,$30.6
23,Deebo Tracy WR13,LAR,WR,$30.6
24,Bijan Kincaid WR11,BAL,WR,$29.8
25,Kyren Corum TE1,BUF,TE,$29.8
26,Sam Kupp QB1,ARI,QB,$28.9
27,Jaxon Parsons RB12,PHI,RB,$28.9
28,Marvin Odunze WR14,NYG,WR,$28
29,CeeDee Brown RB13,LAR,RB,$25.4
30,Rome London RB15,LV,RB,$25.4
31,Deebo Bowers RB16,TB,RB,$24.5
32,Justin Samuel WR17,NO,WR,$24.5
33,Kyren Rice TE2,BUF,TE,$24.5
34,Blake Nacua QB2,LAR,QB,$23.7
35,Breece Nabers RB14,KC,RB,$23.7
36,Marvin Bowers WR15,ATL,WR,$23.7
37,Trey Lamb WR18,PHI,WR,$23.7
38,Justin Nacua WR16,SEA,WR,$22.8
39,Chris Nacua TE3,HOU,TE,$21.9
40,Khalil Harrison WR19,DAL,WR,$21
41,Drake Kincaid RB17,CHI,RB,$20.2
42,Marvin Wilson RB18,CHI,RB,$20.2
43,Blake Samuel WR21,DET,WR,$20.2
44,Chris Rice QB3,NYG,QB,$19.3
45,Tyrone Corum WR23,ATL,WR,$19.3
46,Quentin Corum TE4,CHI,TE,$19.3
47,Rome Tracy WR20,CHI,WR,$18.4
48,Jordan McBride WR22,HOU,WR,$17.6
49,Chris Jefferson QB4,HOU,QB,$16.7
50,Malik Kupp RB19,DET,RB,$16.7
51,Bijan Nacua WR24,PHI,WR,$16.7
52,Khalil McBride WR25,ATL,WR,$16.7
53,Marvin Johnston WR26,CIN,WR,$16.7
54,Amon-Ra Collins QB5,DAL,QB,$15.8
55,Deebo McBride RB20,ARI,RB,$15.8
56,Tyrone Pacheco TE5,SF,TE,$15.8
57,Micah Kupp RB21,LAR,RB,$14.9
58,Kyren Shakir RB22,SF,RB,$14.9
